,BaiDabenquCorpus,CCMUSIC_DATABASE,ChoralSingingDataset,DongTibetanYT,MongolianYT
BaiDabenquCorpus,0.0,1.371,1.4353,1.7034,2.1835
CCMUSIC_DATABASE,1.371,0.0,0.8621,0.993,1.4495
ChoralSingingDataset,1.4353,0.8621,0.0,1.2624,1.7791
DongTibetanYT,1.7034,0.993,1.2624,0.0,1.0154
MongolianYT,2.1835,1.4495,1.7791,1.0154,0.0
