,bai,dong,han_chinese,mongolian,non-ethnic_western_choral,tibetan
bai,0.0,0.5833,0.4221,0.7006,0.4116,0.5871
dong,0.5833,0.0,0.2014,0.251,0.2575,0.2194
han_chinese,0.4221,0.2014,0.0,0.3182,0.1233,0.2358
mongolian,0.7006,0.251,0.3182,0.0,0.3996,0.2011
non-ethnic_western_choral,0.4116,0.2575,0.1233,0.3996,0.0,0.2829
tibetan,0.5871,0.2194,0.2358,0.2011,0.2829,0.0
