corpus,bai,dong,han_chinese,mongolian,south_asian,tibetan,western_choral_singers
BaiDabenquCorpus,16,0,0,0,0,0,0
CCMUSIC_DATABASE,0,0,103,0,0,0,0
ChoralSingingDataset,0,0,0,0,0,0,48
DongTibetanYT,0,3,0,0,0,3,0
IndianFolkMusic,0,0,0,0,605,0,0
MongolianKhoomei,0,0,0,1,0,0,0
MongolianYT,0,0,0,2,0,0,0
