,bai,dong,han_chinese,mongolian,non-ethnic_western_choral,tibetan
bai,0.0,1.7501,1.3825,2.1718,1.3967,1.7675
dong,1.7501,0.0,1.093,1.1628,1.32,0.9816
han_chinese,1.3825,1.093,0.0,1.4494,0.8785,1.0949
mongolian,2.1718,1.1628,1.4494,0.0,1.761,0.9331
non-ethnic_western_choral,1.3967,1.32,0.8785,1.761,0.0,1.3267
tibetan,1.7675,0.9816,1.0949,0.9331,1.3267,0.0
