ethnic_group,Feamle,Female,Female ,Male,mixed,unknown
bai,0,0,0,0,16,0
dong,0,0,0,0,0,3
han_chinese,0,0,0,0,0,103
mongolian,0,0,0,0,0,3
south_asian,5,236,5,359,0,0
tibetan,0,0,0,0,0,3
western_choral_singers,0,0,0,0,48,0
